signal_ts,entry_ts,direction,structural_stop,atr_buffer,stop,stop_distance,ref_close,atr15,spread,zone_id,zone_lo,zone_hi,zone_touches,setup,session,regime,bars_to_retest,retest_completed,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2015-03-02 16:00:00+00:00,2015-03-02 16:15:00+00:00,-1,1215.36,1.097,1216.457,7.972,1208.486,2.194,0.2902,26,1208.844,1213.523,2,rejection,overlap,bear,,,0.1035,0.6332,0.2633,0.2633,1.637
2015-03-02 16:30:00+00:00,2015-03-02 16:45:00+00:00,-1,1214.747,1.058,1215.805,7.49,1208.315,2.115,0.2998,26,1208.844,1213.523,2,rejection,newyork,bear,,,0.4837,0.2962,0.2201,0.2201,1.183
2015-03-02 19:00:00+00:00,2015-03-02 19:15:00+00:00,-1,1213.523,0.788,1214.311,5.51,1208.801,1.575,0.3279,26,1208.844,1213.523,2,rejection,newyork,bear,,,0.0803,0.7243,0.1954,0.1954,0.691
2015-03-03 04:30:00+00:00,2015-03-03 04:45:00+00:00,-1,1213.523,1.057,1214.581,5.963,1208.618,2.115,0.3197,26,1208.844,1213.523,2,rejection,off,bear,,,0.3858,0.3488,0.2654,0.2654,0.648
2015-03-03 05:15:00+00:00,2015-03-03 05:30:00+00:00,-1,1213.523,0.919,1214.442,6.197,1208.245,1.837,0.2976,26,1208.844,1213.523,2,rejection,off,bear,,,0.4378,0.2773,0.2849,0.2849,0.981
2015-03-03 07:30:00+00:00,2015-03-03 07:45:00+00:00,-1,1213.523,0.832,1214.356,5.929,1208.427,1.665,0.2817,26,1208.844,1213.523,2,rejection,off,bear,,,0.6493,0.3507,0.0,0.0,1.043
2015-03-03 09:45:00+00:00,2015-03-03 10:00:00+00:00,-1,1213.523,0.726,1214.249,5.509,1208.74,1.452,0.3039,26,1208.844,1213.523,2,rejection,london,bear,,,0.607,0.0811,0.3119,0.3119,1.898
2015-03-31 11:30:00+00:00,2015-03-31 11:45:00+00:00,-1,1188.171,0.742,1188.912,5.185,1183.727,1.483,0.3022,40,1184.169,1188.171,2,rejection,london,bear,,,0.8431,0.0819,0.0751,0.0751,1.319
2015-03-31 16:45:00+00:00,2015-03-31 17:00:00+00:00,-1,1188.359,0.87,1189.229,5.385,1183.844,1.74,0.2743,40,1184.169,1188.171,2,rejection,newyork,bear,,,0.9163,0.0557,0.028,0.028,3.144
2015-03-31 17:00:00+00:00,2015-03-31 17:15:00+00:00,-1,1188.171,0.87,1189.04,5.912,1183.128,1.739,0.2526,40,1184.169,1188.171,2,rejection,newyork,bear,,,0.4095,0.4518,0.1387,0.1387,1.726
2015-03-31 18:30:00+00:00,2015-03-31 18:45:00+00:00,-1,1188.171,0.825,1188.995,6.378,1182.617,1.649,0.2784,40,1184.169,1188.171,2,rejection,newyork,bear,,,0.6041,0.2589,0.1371,0.1371,2.16
2015-03-31 20:00:00+00:00,2015-03-31 20:15:00+00:00,-1,1188.171,0.687,1188.858,5.275,1183.583,1.375,0.3072,40,1184.169,1188.171,2,rejection,newyork,bear,,,0.7732,0.1313,0.0954,0.0954,0.975
2015-04-16 14:45:00+00:00,2015-04-16 15:00:00+00:00,1,1191.348,1.013,1190.335,7.042,1197.378,2.026,0.2371,42,1191.348,1196.43,3,rejection,overlap,bear,,,0.8611,0.0835,0.0554,0.9165,1.426
