signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held,structural_stop,atr_buffer,stop_distance,atr15,spread,zone_lo,zone_hi,zone_touches,regime,bars_to_retest,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2015-03-02 16:00:00+00:00,2015-03-02 16:15:00+00:00,2015-03-05 20:15:00+00:00,SELL,overlap,rejection,26,1208.303,1216.457,1191.995,1200.011,timeout,8.154,3.066,25.42,1.017,10025.42,288.0,1215.36,1.097,7.972,2.194,0.2902,1208.844,1213.523,2,bear,,0.1035,0.6332,0.2633,0.2633,1.637
2015-03-31 11:30:00+00:00,2015-03-31 11:45:00+00:00,2015-03-31 12:59:00+00:00,SELL,london,rejection,40,1183.523,1188.912,1172.745,1188.962,stop,5.389,4.6509,-25.3,-1.009,10000.13,,1188.171,0.742,5.185,1.483,0.3022,1184.169,1188.171,2,bear,,0.8431,0.0819,0.0751,0.0751,1.319
2015-03-31 16:45:00+00:00,2015-03-31 17:00:00+00:00,2015-04-01 03:00:00+00:00,SELL,newyork,rejection,40,1183.639,1189.229,1172.459,1189.279,stop,5.59,4.4723,-25.22,-1.009,9974.9,31.0,1188.359,0.87,5.385,1.74,0.2743,1184.169,1188.171,2,bear,,0.9163,0.0557,0.028,0.028,3.144
2015-04-23 08:15:00+00:00,2015-04-23 08:30:00+00:00,2015-04-23 15:01:00+00:00,SELL,london,rejection,39,1188.608,1193.726,1178.372,1193.776,stop,5.118,4.8725,-25.18,-1.01,9949.72,,1193.081,0.645,4.924,1.29,0.2777,1189.485,1193.081,2,bear,,0.6823,0.2664,0.0513,0.0513,1.541
2015-04-24 13:15:00+00:00,2015-04-24 13:30:00+00:00,2015-04-27 14:03:00+00:00,SELL,overlap,rejection,39,1187.62,1193.968,1174.924,1194.018,stop,6.348,3.9184,-25.07,-1.008,9924.65,,1193.081,0.887,6.223,1.774,0.2681,1189.485,1193.081,2,bear,,0.8067,0.0544,0.1389,0.1389,2.084
2015-05-08 08:30:00+00:00,2015-05-08 08:45:00+00:00,2015-05-08 12:29:00+00:00,SELL,london,rejection,47,1186.848,1190.844,1178.856,1190.894,stop,3.996,6.2091,-25.12,-1.013,9899.53,,1190.35,0.495,3.812,0.989,0.2903,1187.08,1190.35,2,bear,,0.2875,0.6569,0.0556,0.0556,1.385
2015-05-08 13:30:00+00:00,2015-05-08 13:45:00+00:00,2015-05-13 11:21:00+00:00,SELL,overlap,rejection,42,1187.823,1197.878,1167.713,1197.928,stop,10.055,2.4613,-24.87,-1.005,9874.66,,1196.387,1.491,9.814,2.981,0.3095,1190.165,1196.387,6,bear,,0.8355,0.0835,0.0809,0.0809,4.861
2015-06-01 11:45:00+00:00,2015-06-01 12:00:00+00:00,2015-06-01 13:08:00+00:00,SELL,london,rejection,47,1186.312,1190.918,1177.1,1190.968,stop,4.606,5.3597,-24.95,-1.011,9849.7,,1190.35,0.569,4.363,1.137,0.2706,1187.08,1190.35,2,bear,,0.2879,0.3894,0.3228,0.3228,1.261
2015-06-01 14:00:00+00:00,2015-06-01 14:15:00+00:00,2015-06-03 16:40:00+00:00,SELL,overlap,rejection,60,1200.199,1208.231,1184.135,1184.135,target,8.032,3.0658,49.25,2.0,9898.95,,1206.956,1.275,7.912,2.55,0.2696,1201.897,1206.956,3,bear,,0.7878,0.0,0.2122,0.2122,4.633
2015-06-04 08:45:00+00:00,2015-06-04 09:00:00+00:00,2015-06-05 12:30:00+00:00,SELL,london,rejection,62,1182.398,1188.155,1170.884,1170.884,target,5.757,4.2987,49.49,2.0,9948.45,106.0,1187.303,0.853,5.555,1.706,0.3211,1184.411,1187.303,3,bear,,0.7724,0.1725,0.0552,0.0552,3.282
