signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held,structural_stop,atr_buffer,stop_distance,atr15,spread,zone_lo,zone_hi,zone_touches,regime,bars_to_retest,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2015-03-02 19:00:00+00:00,2015-03-02 19:15:00+00:00,2015-03-03 02:10:00+00:00,SELL,newyork,retest,26,1208.591,1214.311,1197.151,1197.151,target,5.72,4.3706,50.0,2.0,10050.0,,1213.523,0.788,5.51,1.575,0.3279,1208.844,1213.523,2,bear,10,0.0803,0.7243,0.1954,0.1954,0.691
2015-03-03 12:30:00+00:00,2015-03-03 12:45:00+00:00,2015-03-03 14:50:00+00:00,SELL,london,retest,26,1209.939,1214.149,1201.519,1214.199,stop,4.21,5.9679,-25.42,-1.012,10024.58,,1213.523,0.626,4.049,1.252,0.265,1208.844,1213.523,2,bear,11,0.5218,0.4731,0.005,0.005,1.294
2015-03-03 15:30:00+00:00,2015-03-03 15:45:00+00:00,2015-03-06 09:01:00+00:00,SELL,overlap,retest,26,1208.868,1216.071,1194.462,1194.462,target,7.203,3.4793,50.12,2.0,10074.7,,1214.919,1.152,7.041,2.304,0.2934,1208.844,1213.523,2,bear,10,0.7623,0.1992,0.0385,0.0385,4.118
2015-03-30 12:30:00+00:00,2015-03-30 12:45:00+00:00,2015-03-31 12:59:00+00:00,SELL,overlap,retest,40,1184.799,1189.071,1176.255,1189.121,stop,4.272,5.8958,-25.48,-1.012,10049.22,,1188.275,0.796,4.121,1.591,0.2837,1184.169,1188.171,2,bear,4,0.6426,0.2231,0.1343,0.1343,1.779
2015-03-31 17:00:00+00:00,2015-03-31 17:15:00+00:00,2015-04-01 02:55:00+00:00,SELL,newyork,retest,40,1182.954,1189.04,1170.782,1189.09,stop,6.086,4.128,-25.33,-1.008,10023.89,,1188.171,0.87,5.912,1.739,0.2526,1184.169,1188.171,2,bear,1,0.4095,0.4518,0.1387,0.1387,1.726
2015-04-23 08:15:00+00:00,2015-04-23 08:30:00+00:00,2015-04-23 15:01:00+00:00,SELL,london,retest,39,1188.608,1193.726,1178.372,1193.776,stop,5.118,4.8964,-25.3,-1.01,9998.58,,1193.081,0.645,4.924,1.29,0.2777,1189.485,1193.081,2,bear,12,0.6823,0.2664,0.0513,0.0513,1.541
2015-04-24 13:15:00+00:00,2015-04-24 13:30:00+00:00,2015-04-27 14:03:00+00:00,SELL,overlap,retest,39,1187.62,1193.968,1174.924,1194.018,stop,6.348,3.9377,-25.19,-1.008,9973.39,,1193.081,0.887,6.223,1.774,0.2681,1189.485,1193.081,2,bear,9,0.8067,0.0544,0.1389,0.1389,2.084
2015-05-08 10:15:00+00:00,2015-05-08 10:30:00+00:00,2015-05-08 12:29:00+00:00,SELL,london,retest,47,1186.958,1190.905,1179.064,1190.955,stop,3.947,6.3171,-25.25,-1.013,9948.14,,1190.35,0.555,3.733,1.11,0.2812,1187.08,1190.35,2,bear,7,0.2863,0.3979,0.3158,0.3158,1.474
2015-05-08 12:30:00+00:00,2015-05-08 12:45:00+00:00,2015-05-12 10:09:00+00:00,SELL,overlap,retest,47,1185.359,1195.417,1165.243,1195.467,stop,10.058,2.4727,-24.99,-1.005,9923.15,,1194.12,1.297,9.967,2.594,0.3267,1187.08,1190.35,2,bear,8,0.6329,0.0659,0.3012,0.3012,11.687
2015-06-01 15:00:00+00:00,2015-06-01 15:15:00+00:00,2015-06-04 14:09:00+00:00,SELL,overlap,retest,61,1195.561,1205.713,1175.257,1175.257,target,10.152,2.4436,49.62,2.0,9972.76,,1204.394,1.318,9.966,2.637,0.2667,1200.479,1202.813,2,bear,4,0.823,0.0173,0.1597,0.1597,5.753
